Type,Name,Pill Shape,Size,Class,Description,Repeatable?
Weapon,Whisper of the Noose,Oblong,Large,"Ranger, Warlock","An elegant looking bow made of mahogany with a very thin strip of emerald running down the length of the bow.
When you hit an enemy, you deal the damage you normally would and that target's blood is marked. As an action, you may speak the command word and drain the life from targets you have hit previously. Each target who's blood is marked must make a DC 15 Constitution saving throw, taking 1d8 necrotic damage on a failed save and half as much on a successful one. You heal for half of the necrotic damage dealt.
",One of a Kind
Trinket,Forked Tongue,Sphere,Small,"Paladin, Rogue, Bard, Cleric, Wizard, Barbarian, Warlock","A bloody severed tongue split down the middle.
Once a day this item can be used to tell any lie to a target, no matter how ridiculous. The target must make a Wisdom saving throw of DC 12. On a failed throw they will believe the lie for one hour. If the target makes a successful save then the owner of the tongue must also make a Wisdom saving throw of DC 14. If the owner fails the saving throw then they believe their own lie for one hour.
",One of a Kind
Weapon,Very-Cross Bow,Oblong,Medium,"Ranger, Barbarian, Fighter,","An ill-conceived and short-lived partnership between Elven bowyers and Dwarven engineers resulted in a crossbow that should have just remained a dumb idea. The Very-cross bow combines together the beauty of Elven woodwork, the prowess of Dwarven design, and the burning hatred these two races felt about being forced to work together.
The Very-Cross Bow acts as a normal crossbow, doing 1d8+1 damage per bolt. As part of an attack action, the user may attempt tap into the seething hatred imbued in the Very-Cross Bow by insulting the Very-Cross bow (making a Charisma/Intimidation check DC 12.) If successful in insulting the bow, the Very-Cross Bow burns with rage and shoots a flaming bolt doing 1d6 +4 additional fire damage. If the check fails, the Very-Cross bow sullenly refuses to work for the remainder of the current fight.
",One of a Kind
Accessory,Buffoon's Pantaloons,Sphere,Medium,"Bard, Barbarian, Monk, Fighter","A gaudy pair of pantaloons that only the most confident - or dimwitted - person could pull off successfully. Too bad they're a little loose - but there is always a price to be paid for fashion.
The Buffoon's Pantaloons provided a +1 AC, and advantage on athletic checks. If wearer rolls a natural 1 on any check, the pantaloons fall down around the wearer's ankles. Until the wearer spends an action pulling up their pantaloons, they suffer disadvantage on all checks.
",
Consumable,Greased Lightning,Sphere,Small,"Ranger, Rogue, Paladin, Barbarian, Fighter, Warlock","A tin of shimmering grease that reminds you of summer loving and of your years spent illegally transporting moonshine. There is enough left in the tin to coat a single weapon, though it doesn’t stick to magical weapons.When applied to a non-magical weapon, the type of damage that the weapon deals can now be toggled between standard damage or electric damage.",
Instrument,Phandalin Mandolin,Oblong,Medium,Bard,"This unique musical instrument is the last one of its kind, and will only increase in value! When playing, the spectural forms of all the destroyed instruments crafted by the same Phandolin Artisan harmonizes with the Phandolin Mandolin to create an eerie but beautiful sound. The Phandolin Mandolin gives advantage to the user on checks made using this item, such as performance checks.",One of a Kind
Trinket,Lucky Egg,Oblong,Small,All,"The Lucky Egg is a small, silver egg hanging on a gold chain. Twice per day, as an interrupt action, the wearer may kiss the egg, and force any die to be rerolled, similar to the “Lucky” feat. 
",
Accessory,The Rose Tinted Spectacles,Oblong,Small,"Ranger, Wizard, Cleric, Paladin, Sorcerer, Warlock, Druid","They appear to be a fairly standard looking pair of round spectacles with a brass frame and light pink coloured lenses. Once per day, when you place them on your face, they show you a view of exactly what you can see without them on, but exactly one hour into the past. They also tint your view a beautiful pale pink. The view of the past cannot be interacted with in any way, and you cannot hear anything that happens in the past either.
",One of a Kind
Accessory,Ring of the Phoenix,Sphere,Very Small,All,"An intricately detailed silver ring, with a captivatingly bright orange, glowing feather. While wearing this ring, the user can rise from the dead, much like a Phoenix. In combat, this occurs after the failure of the third death saving throw. Upon resurrection, the users HP and spell slots are fully restored, but the ring burns away.",
Weapon,Railsplitter,Oblong,Large,"Paladin, Rogue, Ranger, Fighter, Barbarian","This luberjack's axe has intricate carvings of what looks like plaid all along its neck, and allows the user to instantly fell any tree, once per day. Otherwise behaves like any standard +1 battleaxe",One of a Kind
Accessory,Ring of Frost,Sphere,Very Small,"Wizard, Ranger, Bard, Druid,  Sorcerer, Warlock","A blue, steel ring that is cool to the touch. When the wearer is holding a beverage in the same hand as the ring, the beverage becomeis cold and frosty. This ring also confers upon the wearer resistance to frost damage. The main benefit is the cold drinks though.",
Accessory,True Heart Clasp,Sphere,Very Small,"Cleric, Paladin, Druid, Monk, ","A small clasp that can be fastened to the user's ear, like a clip-on earring. It allows the wearer to intuitively better understand people's true intentions. This gives the wearer advantage, and +2 to all insight checks.",
Accessory,Fletcher's Mitt,Sphere ,Small,"Ranger, Paladin, Barbarian, Monk, Fighter, Druid","A green clothed glove that allows the user to avoid or catch any projectile. It grants the wearer a +2 AC to all ranged non-magical attacks. If the user completely avoids the attack, they catch whatever projectile was flung their way, providing it can be caught in one hand. Additionally, Monk users can roll an additional d10 to reduce damage from ranged weapon attacks from the skill Deflect Missiles.",One of a Kind
